Name,smiles,MolecularWeight
Fc1ccc(B(c2ccc(F)cc2)c2ccc(Cl)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(F)cc1)(c1ccc(Cl)cc1),312.56
N#Cc1cccc(B(c2ccc(F)cc2)c2ccccc2F)c1,[B](c1ccc(F)cc1)(c1cc(C#N)ccc1)(c1ccccc1F),303.12
N#Cc1cccc(B(c2ccc(Cl)cc2)c2ccc(CCl)cc2)c1,[B](c1ccc(Cl)cc1)(c1cc(C#N)ccc1)(c1ccc(CCl)cc1),350.06
Fc1ccccc1B(c1ccccc1F)c1ccccc1F,[B](c1ccccc1F)(c1ccccc1F)(c1ccccc1F),296.1
O=C(O)c1ccc(B(c2ccccc2)c2ccccc2F)cc1,[B](c1ccccc1)(c1ccc(C(=O)O)cc1)(c1ccccc1F),304.13
Cc1ccc(B(c2cc(C)ccc2C)c2cc(C)ccc2C)cc1,[B](c1ccc(C)cc1)(c1cc(C)ccc1C)(c1cc(C)ccc1C),312.27
Cc1ccc(B(c2ccc(F)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(C)cc1)(c1ccc(CCl)cc1),322.62
N#Cc1cccc(B(c2ccc(CCl)cc2)c2ccc(CCl)cc2)c1,[B](c1cc(C#N)ccc1)(c1ccc(CCl)cc1)(c1ccc(CCl)cc1),364.08
N#Cc1cccc(B(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)c1,[B](c1cc(C#N)ccc1)(c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1),355.16
Cc1ccc(C)c(B(c2ccc(Cl)cc2)c2ccccc2F)c1,[B](c1ccc(Cl)cc1)(c1cc(C)ccc1C)(c1ccccc1F),322.62
Fc1ccccc1B(c1ccc(CCl)cc1)c1ccccc1F,[B](c1ccccc1F)(c1ccccc1F)(c1ccc(CCl)cc1),326.58
Fc1ccc(B(c2ccc(CCl)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(CCl)cc1)(c1ccc(CCl)cc1),357.06
Cc1ccc(C)c(B(c2ccc(F)cc2)c2cc(C)ccc2C)c1,[B](c1ccc(F)cc1)(c1cc(C)ccc1C)(c1cc(C)ccc1C),316.23
N#Cc1cccc(B(c2ccc(F)cc2)c2ccc(CCl)cc2)c1,[B](c1ccc(F)cc1)(c1cc(C#N)ccc1)(c1ccc(CCl)cc1),333.6
ClCc1ccc(B(c2ccccc2)c2ccc(Cl)cc2)cc1,[B](c1ccccc1)(c1ccc(Cl)cc1)(c1ccc(CCl)cc1),325.05
Fc1ccccc1B(c1ccccc1)c1ccc(CCl)cc1,[B](c1ccccc1)(c1ccccc1F)(c1ccc(CCl)cc1),308.59
Fc1ccc(B(c2ccc(CCl)cc2)c2ccccc2F)cc1,[B](c1ccc(F)cc1)(c1ccccc1F)(c1ccc(CCl)cc1),326.58
O=C(O)c1ccc(B(c2ccc(F)cc2)c2ccc(F)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(F)cc1)(c1ccc(C(=O)O)cc1),322.12
Cc1ccc(C)c(B(c2ccc(C(=O)O)cc2)c2cccc(C#N)c2)c1,[B](c1cc(C)ccc1C)(c1cc(C#N)ccc1)(c1ccc(C(=O)O)cc1),339.2
Cc1ccc(B(c2ccc(C(=O)O)cc2)c2cccc(C#N)c2)cc1,[B](c1ccc(C)cc1)(c1cc(C#N)ccc1)(c1ccc(C(=O)O)cc1),325.18
ClCc1ccc(B(c2ccc(CCl)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(CCl)cc1)(c1ccc(CCl)cc1)(c1ccc(CCl)cc1),387.55
Clc1ccc(B(c2ccccc2)c2ccccc2)cc1,[B](c1ccccc1)(c1ccccc1)(c1ccc(Cl)cc1),276.57
Fc1ccc(B(c2ccccc2)c2ccc(Cl)cc2)cc1,[B](c1ccccc1)(c1ccc(F)cc1)(c1ccc(Cl)cc1),294.56
Cc1ccc(B(c2ccc(Cl)cc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccc(Cl)cc1)(c1ccc(C)cc1)(c1ccc(C(=O)O)cc1),334.61
Cc1ccc(B(c2cccc(C#N)c2)c2cc(C)ccc2C)cc1,[B](c1ccc(C)cc1)(c1cc(C)ccc1C)(c1cc(C#N)ccc1),309.22
Cc1ccc(B(c2ccccc2F)c2ccccc2F)cc1,[B](c1ccc(C)cc1)(c1ccccc1F)(c1ccccc1F),292.14
Fc1ccc(B(c2ccccc2)c2ccc(F)cc2)cc1,[B](c1ccccc1)(c1ccc(F)cc1)(c1ccc(F)cc1),278.11
Cc1ccc(C)c(B(c2ccc(Cl)cc2)c2cccc(C#N)c2)c1,[B](c1ccc(Cl)cc1)(c1cc(C)ccc1C)(c1cc(C#N)ccc1),329.64
N#Cc1cccc(B(c2ccc(Cl)cc2)c2cccc(C#N)c2)c1,[B](c1ccc(Cl)cc1)(c1cc(C#N)ccc1)(c1cc(C#N)ccc1),326.6
Fc1ccc(B(c2ccccc2)c2ccc(CCl)cc2)cc1,[B](c1ccccc1)(c1ccc(F)cc1)(c1ccc(CCl)cc1),308.59
Cc1ccc(B(c2ccc(C)cc2)c2ccc(F)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(C)cc1)(c1ccc(C)cc1),288.17
Cc1ccc(C)c(B(c2ccc(CCl)cc2)c2cccc(C#N)c2)c1,[B](c1cc(C)ccc1C)(c1cc(C#N)ccc1)(c1ccc(CCl)cc1),343.67
Fc1ccc(B(c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(Cl)cc1)(c1ccc(Cl)cc1),329.01
Fc1ccc(B(c2ccccc2F)c2ccccc2F)cc1,[B](c1ccc(F)cc1)(c1ccccc1F)(c1ccccc1F),296.1
O=C(O)c1ccc(B(c2ccc(Cl)cc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccc(Cl)cc1)(c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1),364.59
N#Cc1cccc(B(c2ccc(C(=O)O)cc2)c2cccc(C#N)c2)c1,[B](c1cc(C#N)ccc1)(c1cc(C#N)ccc1)(c1ccc(C(=O)O)cc1),336.16
Cc1ccc(C)c(B(c2cccc(C#N)c2)c2ccccc2F)c1,[B](c1cc(C)ccc1C)(c1cc(C#N)ccc1)(c1ccccc1F),313.18
Cc1ccc(B(c2cccc(C#N)c2)c2cccc(C#N)c2)cc1,[B](c1ccc(C)cc1)(c1cc(C#N)ccc1)(c1cc(C#N)ccc1),306.18
Cc1ccc(B(c2ccc(C)cc2)c2ccc(C)cc2)cc1,[B](c1ccc(C)cc1)(c1ccc(C)cc1)(c1ccc(C)cc1),284.21
O=C(O)c1ccc(B(c2ccccc2)c2ccc(Cl)cc2)cc1,[B](c1ccccc1)(c1ccc(Cl)cc1)(c1ccc(C(=O)O)cc1),320.58
Cc1ccc(B(c2ccc(C)cc2)c2ccc(Cl)cc2)cc1,[B](c1ccc(Cl)cc1)(c1ccc(C)cc1)(c1ccc(C)cc1),304.63
Fc1ccccc1B(c1ccc(Cl)cc1)c1ccccc1F,[B](c1ccc(Cl)cc1)(c1ccccc1F)(c1ccccc1F),312.56
Cc1ccc(B(c2ccc(Cl)cc2)c2cc(C)ccc2C)cc1,[B](c1ccc(Cl)cc1)(c1ccc(C)cc1)(c1cc(C)ccc1C),318.66
N#Cc1cccc(B(c2ccc(F)cc2)c2ccc(F)cc2)c1,[B](c1ccc(F)cc1)(c1ccc(F)cc1)(c1cc(C#N)ccc1),303.12
Cc1ccc(C)c(B(c2ccccc2)c2ccccc2F)c1,[B](c1ccccc1)(c1cc(C)ccc1C)(c1ccccc1F),288.17
Cc1ccc(B(c2ccccc2)c2ccc(Cl)cc2)cc1,[B](c1ccccc1)(c1ccc(Cl)cc1)(c1ccc(C)cc1),290.6
Cc1ccc(C)c(B(c2ccccc2)c2ccc(C(=O)O)cc2)c1,[B](c1ccccc1)(c1cc(C)ccc1C)(c1ccc(C(=O)O)cc1),314.19
O=C(O)c1ccc(B(c2ccccc2)c2ccc(CCl)cc2)cc1,[B](c1ccccc1)(c1ccc(C(=O)O)cc1)(c1ccc(CCl)cc1),334.61
Cc1ccc(B(c2ccccc2)c2ccc(CCl)cc2)cc1,[B](c1ccccc1)(c1ccc(C)cc1)(c1ccc(CCl)cc1),304.63
Cc1ccc(C)c(B(c2ccccc2)c2ccc(F)cc2)c1,[B](c1ccccc1)(c1ccc(F)cc1)(c1cc(C)ccc1C),288.17
