smiles,charge_diff,tpsa,rotatable_bonds,num_rings
CCOC1(C=O)CN1O,0.5886576769822531,49.540000000000006,5.0,1.0
CCC=CCOC=NC,0.6485516863843563,21.59,5.0,0.0
C=1N[NH1]C=1.OCCCCOCC2C=C2,0.5833536704917575,61.04,7.0,2.0
C1C=NN=CC1=O.O=CCC=CC=C=O,0.48364539349868885,75.93,3.0,1.0
CCC1(CC)NO1,0.43558641302956524,34.47,4.0,1.0
CN(CN)COC(N)=O,0.8388135846402534,81.57999999999998,5.0,0.0
CC1CCC(N1)CN,0.4517137397394791,38.05,3.0,1.0
CC1C2CN2C1C=O.CC=NCC3CC3C(O4)C4,0.5097789017603827,44.97,6.0,4.0
C1=C([NH1]C(=N1)N)CCO,0.6060253388378608,74.93,4.0,1.0
C=CN=CCCC(C)NCOCO.N=COCCNCCO,0.6954518892413477,119.19000000000001,16.0,0.0
NC#CC=CC(C)C.CC=O,0.4703011751018875,43.09,4.0,0.0
CCC(OC#N)C,0.710588601693239,33.019999999999996,4.0,0.0
CC1NC1C(=O)CC=O,0.4607921555149102,56.080000000000005,4.0,1.0
CCC1N=CC=NC1N,0.428496032729608,50.739999999999995,3.0,1.0
CC(C1)N1CN.CC=O,0.42336103320255875,46.1,4.0,1.0
CCC1CCN(N)C1=O,0.5195908691382981,46.33,3.0,1.0
O=C1CC(O)N=C2OC12.O=CNN=NC=C,0.5140701347911795,116.00999999999999,3.0,2.0
C1(O)=C=NC1CO2.COC(=O)C(=N)C2,,,,
CC(=O)CCC(C)C=O,0.43246407957014993,34.14,6.0,0.0
OCC(F)C(C)N=C=O,0.6280912068221999,49.660000000000004,5.0,0.0
C1CCN=C(C)NCC.CCCC1CCOCCO,,,,
CN(C=O)C1=CC=NO1.CC(C)(CCCN)C=O,0.5632769052882349,89.43,9.0,1.0
O=C1CCC1CCOC,0.5202660732554729,26.3,4.0,1.0
CC1=NC=CCO1,0.6610751694609067,21.59,1.0,1.0
O=COC1CC1CC.CCOC23CCC2OC=NO3,0.7632830582058128,66.35,6.0,3.0
CN=COCN1CN1,0.6374886190242184,46.540000000000006,3.0,1.0
OC=CNCC=O,0.8062897961963156,49.33,4.0,0.0
CC1OC2CC2NC1=N,0.5555177102433162,45.11,1.0,2.0
N=CC1CC1C(C)CN.C=C,0.29282088029899267,49.870000000000005,5.0,1.0
CN(C#N)CNCC(=O)C#N.CCC(C)N=COC=O,0.6622008441695274,118.58,9.0,0.0
CC(C)C1OOC1=O.COCCCCC2OC2OO,0.7597086520688503,86.75,11.0,2.0
CNCC1NC1C,0.44106494357636383,33.97,4.0,1.0
C1NC12COCO2,0.5088039499398402,40.400000000000006,0.0,2.0
CNC=NC1CCCCCO1,0.540028328146891,33.620000000000005,2.0,1.0
C=C1OC1C=NCCOC.CCCN=CC(=N2)C2C,0.48029199049547594,58.84,10.0,2.0
C=CN=C(O)OCC=O,0.8515359203952324,58.89000000000001,3.0,0.0
C1OC1COCNC=O,0.5790106510346655,50.86,4.0,1.0
C1NC(CC=O)N1,0.4283433702875775,41.13,2.0,1.0
COC(C1=C=N)(NO1)N,0.6672470585003336,80.36,3.0,1.0
C#CC1=CN=C(O1)OO,0.8251541547597192,55.49000000000001,2.0,1.0
CC=C(OCNC1N)N1,0.6493546730043995,59.31,2.0,1.0
C1OC=NCC1=O.CCCCC=O,0.4945203059709225,55.73,4.0,1.0
O1CC2C3C2CCC3=O.O=C1NNO,,,,
ON1C=C(C(=N1)OC)O.CCCCCCCC=O,0.6329224626910531,84.58000000000001,11.0,1.0
CC1CC1C=O.CCCOC2=NC2,0.6024987123584133,38.66,5.0,2.0
CCOC(CC=O)N,0.4868717791497476,52.32,6.0,0.0
OC1(C=O)CC1C.C.CC(O)CCCCC=O,,,,
CC12CC1=CCC2C=N3.C4=CCOC43C=O,,,,
CC1CC1C2CC=CO2.C3C(OC3)CCC4NC4,0.482419280110745,40.400000000000006,5.0,4.0
CC(=O)NC(=O)CC[NH3+1].C[NH2+1]CC1CN=CC1O,0.7308821323998118,123.01,8.0,1.0
CCC1CN1CC#N.N=CCCOOCOC,0.4423455951963116,78.34,10.0,1.0
CC=COCOC(=N)C1C=C1,0.6963078347825017,42.31,5.0,1.0
NCC1C[NH1]1.OC(CCCC(=O)C)=O,0.6038734540872993,102.33,7.0,1.0
COCCCCOC(=O)NO,0.8786548020958204,67.79,7.0,0.0
OC1C(F)C=N1.NCCCCC(O2)C2,0.5861333215584648,71.14,6.0,2.0
