zinc_id,smiles
ZINC000000007944,Fc1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1
ZINC000000007382,Cc1ccc(CC2(O)CCN(CCOc3ccc(O)cc3)CC2)cc1
ZINC000000006515,Clc1cccc2c1CN(C1=NCCN1)C2
ZINC000000006164,CC1(C)CO[C@@H](CC(=O)O)CN1
ZINC000000005803,Cc1noc(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)c1C
ZINC000000005719,N=C(N)c1ccc(N2CCN(C3CCN(CC(=O)O)CC3)CC2)cc1
ZINC000000005679,CN(C)Cc1ccc(CC2CCNCC2)cc1
ZINC000000005575,CC1(C)CC(O)CC(C)(C)N1O
ZINC000000005455,CN(C)CCc1c[nH]c2ccc(CN3CCN(C)S3(=O)=O)cc12
ZINC000000005219,C[C@H](C(=O)O)c1ccc(C(=O)c2ccco2)cc1
ZINC000000005155,O=C1CN=C(c2ccc[nH]2)c2cc(Cl)ccc2N1
ZINC000000004902,O=C(CC1CCN(CC2CC2)CC1)c1ccc(F)cc1
ZINC000000004353,CC(C)(C)NC[C@@H](O)COc1ccccc1-c1ccccc1
ZINC000000004290,CCCC(=O)O[C@@H]1CN2CC[C@@H](O)[C@H]2[C@H](O)[C@H]1O
ZINC000000004010,CC(C)N[C@H]1CCn2c(=O)[nH]c3cccc(c32)[C@@H]1O
ZINC000000003945,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O
ZINC000000003225,COc1cc(/C=C\c2ccc(O)cc2)cc(OC)c1
ZINC000000002857,N#Cc1ccc(Nc2ncnc3c2CC[C@@H]3O)cc1
ZINC000000002219,O=c1[nH]c(=O)n([C@@H]2C[C@@H](O)[C@H](CO)O2)cc1C(F)(F)F
ZINC000000002069,CN(/N=N/N(C)c1ccccc1)c1ccccc1
ZINC000100003911,CC(C)(C)n1ncc(S)c(Cl)c1=O
ZINC000100003438,Cc1cnccc1S(=O)(=O)Cl
ZINC000100003435,Cc1ncccc1S(=O)(=O)Cl
ZINC000100003431,Cc1ccncc1S(=O)(=O)Cl
ZINC000100003428,COc1ncccc1S(=O)(=O)Cl
ZINC000100003151,O=[N+]([O-])c1ccc(S(=O)(=O)Cl)s1
ZINC000100002502,CC1(C)[C@@H]2CC[C@@]13CS(=O)(=O)N[C@@H]3C2
ZINC000000001603,CCN(CC)CCOc1ccccc1-n1c(C)ccc1-c1ccccc1
ZINC000000000888,C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@@H](C)C3=C[C@H]12
ZINC000000000639,Cc1ncc(CO[C@H](O)C(=O)O)c(CO)c1O
ZINC000000000603,CC(C)(O)[C@](C)(O)c1ccc(Cl)cc1
ZINC000000000485,COc1cc2c(cc1OC)[C@H](CCc1ccc(Cl)cc1)N(C)CC2
ZINC000000000478,CC[C@@H](c1ccc2cc(OC)ccc2c1)C(C)(C)C(=O)O
ZINC000000000410,C[C@@H]1[C@H]2C(=O)c3ccc(O)cc3[C@]1(C)CCN2CC1CC1
ZINC000000000223,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C
ZINC000000000179,CN(C)CC[C@@H]1c2ccc(Cl)cc2CCc2cccnc21
ZINC000100000491,Cc1nc2cc(S(=O)(=O)Cl)ccc2[nH]1
ZINC000100000365,[C-]#[N+][C@@H]1C[C@H]2CC[C@@]1(C)C2(C)C
ZINC001848444654,O[C@@H]1CCn2c(Br)cnc21
ZINC001848444653,O[C@H]1CCn2c(Br)cnc21
ZINC001848444652,Nc1n[nH]c2cccc(-c3ccc(=O)n(Cc4cccc(Cl)c4)c3)c12
ZINC001848444651,O=C(O)CCCCC(=O)NCCC(=O)N1Cc2ccccc2C#Cc2ccccc21
ZINC001848444650,CCC(=O)N([C@@H](Cc1ccccc1)C(=O)O)[C@@]1(C)NC[C@H](C(=O)[C@H](C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)CCCCCN2C(=O)C=CC2=O)C(C)C)[C@H](OC)[C@@H](NC)[C@H](C)CC)[C@H]1OC
ZINC001848444649,CCC(=O)N([C@@H](Cc1ccccc1)C(=O)O)[C@@]1(C)NC[C@H](C(=O)[C@H](C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)CCCCCN2C(=O)C=CC2=O)C(C)C)[C@H](OC)[C@H](NC)[C@@H](C)CC)[C@H]1OC
ZINC001848444648,CCC(=O)N([C@@H](Cc1ccccc1)C(=O)O)[C@@]1(C)NC[C@H](C(=O)[C@H](C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)CCCCCN2C(=O)C=CC2=O)C(C)C)[C@H](OC)[C@H](NC)[C@H](C)CC)[C@H]1OC
ZINC001848444647,CCC(=O)N([C@@H](Cc1ccccc1)C(=O)O)[C@@]1(C)NC[C@H](C(=O)[C@H](C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)CCCCCN2C(=O)C=CC2=O)C(C)C)[C@H](OC)[C@@H](NC)[C@@H](C)CC)[C@H]1OC
ZINC001848444646,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)O)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C
ZINC001848444645,CN(C(=O)OC(C)(C)C)[C@H]1COCCO1
ZINC001848444644,COCOc1cc(Br)c2ccccc2c1
ZINC001848444643,CCOC(=O)CC1(O)CCC(O)CC1
ZINC001848444642,CCOC(=O)c1nc(Br)n2c1OC=CC2
ZINC001848444641,C=CCO[C@H]1O[C@H](CNS(=O)(=O)c2cccc(Cl)c2Cl)[C@@H](O)[C@H](O)[C@H]1N
ZINC001848444640,C=CCO[C@@H]1O[C@H](CNS(=O)(=O)c2cccc(Cl)c2Cl)[C@@H](O)[C@H](O)[C@H]1N
ZINC001848444639,O=C[C@H]1CC[C@H](F)CC1
ZINC001848444638,CCC(=O)N([C@@H](Cc1ccccc1)C(=O)O)[C@@]1(C)NC[C@H](C(=O)[C@H](C(=O)[C@](C)(C(C)C)N(C)C(=O)[C@@H](N)C(C)C)[C@H](OC)[C@H](NC)[C@@H](C)CC)[C@H]1OC
ZINC001848444637,CCC(=O)N([C@@H](Cc1ccccc1)C(=O)O)[C@@]1(C)NC[C@H](C(=O)[C@H](C(=O)[C@](C)(C(C)C)N(C)C(=O)[C@@H](N)C(C)C)[C@H](OC)[C@H](NC)[C@H](C)CC)[C@H]1OC
ZINC001848444636,CCC(=O)N([C@@H](Cc1ccccc1)C(=O)O)[C@@]1(C)NC[C@H](C(=O)[C@H](C(=O)[C@](C)(C(C)C)N(C)C(=O)[C@@H](N)C(C)C)[C@H](OC)[C@@H](NC)[C@H](C)CC)[C@H]1OC
ZINC001848444635,CCC(=O)N([C@@H](Cc1ccccc1)C(=O)O)[C@@]1(C)NC[C@H](C(=O)[C@H](C(=O)[C@](C)(C(C)C)N(C)C(=O)[C@@H](N)C(C)C)[C@H](OC)[C@@H](NC)[C@@H](C)CC)[C@H]1OC
ZINC001848444634,Oc1cc(-c2c(-n3cnnn3)ccc(Cl)c2F)ccn1
ZINC001848444633,CCOC(=O)c1nc(Cl)n2c1OC=CC2
ZINC001848444632,CCOC(=O)[C@@H]1N2[C@@H](O[Si](C)(C)C)C=C(O[Si](C)(C)C)C[C@]12C
ZINC001848444631,CCOC(=O)[C@@H]1N2[C@H](O[Si](C)(C)C)C=C(O[Si](C)(C)C)C[C@@]12C
ZINC001848444630,CCOC(=O)[C@@H]1N2[C@H](O[Si](C)(C)C)C=C(O[Si](C)(C)C)C[C@]12C
ZINC001848444629,CCOC(=O)[C@@H]1N2[C@@H](O[Si](C)(C)C)C=C(O[Si](C)(C)C)C[C@@]12C
ZINC001848444628,O=C(CCCCC(=O)ON1C(=O)CCC1=O)NCCC(=O)N1Cc2ccccc2C#Cc2ccccc21
ZINC001848444627,O=C(O)CCC(=O)NCCC(=O)N1Cc2ccccc2C#Cc2ccccc21
ZINC001848444626,CC(C)(C)OC(=O)Nc1cccnc1C(N)=O
ZINC001848444625,CC1(C)CC[C@]2(C(=O)n3cnc(-c4cccnc4)c3)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1
ZINC001848444624,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)O)OC)N(C)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(C)C)C(C)C
ZINC001848444623,Cc1cc(Nc2cc3ncccc3c(N[C@H]3C[C@@H]4CC[C@H](C3)N4CCC#N)n2)n[nH]1
ZINC001848444622,O=c1cc(-c2ccccc2)ccn1[C@@H]1CCn2c(Br)cnc21
ZINC001848444621,O=c1cc(-c2ccccc2)ccn1[C@H]1CCn2c(Br)cnc21
ZINC001848444620,[N-]=[N+]=N[C@H]1[C@@H](C(=N)C(Cl)(Cl)Cl)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H]1OCc1ccccc1
ZINC001848444619,[N-]=[N+]=N[C@H]1[C@@H](C(=N)C(Cl)(Cl)Cl)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1
ZINC001848444618,COCOc1cc(F)cc(C(=O)O)c1F
ZINC001848444617,CC(C)(O)C(C)(C)OB(O)c1cc(F)c2c(c1)CNC2=O
ZINC001848444616,F[C@H]1[C@H](c2ccc(Br)cc2)[C@@H](F)[C@@H](F)C[C@H]1F
ZINC001848444615,CC(C)(C)OC(=O)CC[C@@H](CC(=O)O)NC(=O)O
ZINC001848444614,CC(C)(C)OC(=O)CC#CN1CCC[C@@H]1C(=O)O
ZINC001848444613,CC(C)(C)OC(=O)CC#CN1CCC[C@H]1C(=O)O
ZINC001848444612,CC(C)Oc1cnc(F)c(B2OC(C)(C)C(C)(C)O2)c1
ZINC001848444611,Cc1ccc(OCc2ccccc2)cc1CO
ZINC001848444610,CC(C)c1ccc(O)c(Cl)n1
ZINC001848444609,Cc1ccc(Cl)c2c1B(O)OC2
ZINC001848444608,COC(=O)c1cc(OCc2ccccc2)ccc1C
ZINC001848444607,CC(C)Oc1c(F)ccc(CO)c1F
ZINC001848444606,COc1c(B(O)O)ccc(F)c1C1OCCO1
ZINC001848444605,COc1ccc(B2OC(C)(C)C(C)(C)O2)c(C=O)c1F
ZINC001848444604,CSc1cc(C)ccc1B1OC(C)(C)C(C)(C)O1
ZINC001848444603,Cc1cc(Br)cnc1C(=O)NC1CC1
ZINC001848444602,CC(C)Oc1cnc(F)c(O)c1
ZINC001848444601,COC(=O)c1c(Cl)cc(OC(F)(F)F)cc1Cl
