smiles,charge_diff,tpsa,rotatable_bonds,num_rings,score
COC(=O)OSOC=C(O)C1=CC=CC=C1,1.0268224433422533,64.99000000000001,6.0,1.0,3
COC(=O)OCCC1C=CCC1C,0.9450908714300896,35.53,5.0,1.0,3
COC=C1NC(=O)O1,0.9192254030756731,47.56,2.0,1.0,3
COC=NCOC1=NCNO1,0.8924710494203502,64.44,3.0,1.0,3
CCN1OCN1C(=O)O,0.8893859966762674,53.010000000000005,2.0,1.0,3
COC(=O)N=C(N)CC=C(C=CC1=C)C=CC=C1C,0.8856975781999222,64.67999999999999,4.0,1.0,3
CCOC(=O)N=C(C=CC1)C1=CC=O,0.8818464673062345,55.73,3.0,1.0,3
CC=CC1=COC(=O)N=N1,0.8701106632976116,55.99,2.0,1.0,3
OC(=O)NC1C2C1(C)CO2,0.8695356433221173,58.56,2.0,2.0,3
COC(=O)N(C=O)CN(C1)CC1CC=C,0.8690530570672512,49.85,5.0,1.0,3
O=C(N1C=O)OC2CCCCC2C(C=CC=C=C)C=CCCCC=CC=CC=CCCCC=CC=C1,0.865507200004388,46.61,2.0,2.0,3
COC(=O)NC=CC=C(N1)C1(C)CC2C=C2,0.8630037802317101,60.269999999999996,6.0,2.0,3
CC(=O)NC(=O)OCC1C(C#C)C=C1C=C,0.8618921250256029,55.400000000000006,4.0,1.0,3
CCOC(=O)NC(O1)N1C,0.8595765885726236,53.87,4.0,1.0,3
O=C1OC(C)CCC=CC=CC=C1OCC2CN2,0.858189210526232,57.47,4.0,2.0,3
CNC1CCOC(=O)N1,0.857251634725172,50.36,2.0,1.0,3
C1N(C)N2C(=O)N=CC2C=C1OCC,0.8552366102655607,45.14,4.0,2.0,3
CCOC(=N1)OCCN1,0.8547234080610271,42.85,2.0,1.0,3
OCOC=C1OCOC1=O,0.8506257671612203,64.99000000000001,3.0,1.0,3
CC=CC1=COC(=O)N1C#N,0.8473730554531345,58.93,2.0,1.0,3
O=CCNC(=O)N=C.COC=CC1=CC1,0.844520160619846,67.76,5.0,1.0,3
CN1CNC(C)OC1=O,0.842131714850597,41.57,2.0,1.0,3
C=1OCC=C(C=1)C=NC(=O)NC=CCCC=C2C=N2,0.8414528394021592,63.05,5.0,2.0,3
C=COC1NCOC1=O,0.8360276737775766,47.56,2.0,1.0,3
O=C(C=CC=CC=C=C=C)C(=O)OCC(C1)O1,0.8354587607826798,55.900000000000006,6.0,1.0,3
CCCOC(=O)C1N=C1O,0.8348188018722071,58.89,4.0,1.0,3
NC(=O)OC1CC(C)O1,0.8259782839305718,61.55000000000001,2.0,1.0,3
NNC1OC(=O)N1C,0.8257975263280788,67.58999999999999,3.0,1.0,3
C1[C@H1]OC(=O)C=CN=C1ONC(C)=CC=COC2CC2=C=C,0.8249025530167052,69.15,6.0,2.0,3
COC(=C)C1C=CCOC1=O,0.8208012628643291,35.53,3.0,1.0,3
COC=C1CC(=O)O1,0.8191439989254876,35.53,2.0,1.0,3
OC=CC(C1)C1CC=COC=O,0.8133154338012603,46.53,5.0,1.0,3
C1OC=CC=C(NOC=O)C=CC#C1,0.8085204242809242,47.56,2.0,1.0,3
C1CC(C)CC2CN=CC=C2C1CCC=CO,0.8080293895305632,32.59,5.0,2.0,3
C1CC(NC=O)CC=CCC1=CO,0.8077469874896753,49.33,2.0,1.0,3
CN=C1OCC1=CO,0.8071060547093563,41.82,2.0,1.0,3
C1OCC2C(C1C(C)C)OC(=O)C=NN2CC=CC(=C)C#C,0.8063639321113754,51.13,6.0,2.0,3
OC=C(NC)C1CC=N1,0.8059238843950075,44.62,4.0,1.0,3
C1=C(O)CC1C=O,0.805141055934005,37.3,2.0,1.0,3
C1=C(CC1NCCC)O,0.8050682996694379,32.26,5.0,1.0,3
CC1(C)CN=CC1C(C2)C=C(O)CC2=O,0.8047420395388062,49.660000000000004,4.0,2.0,3
OC=COC=NC1C=C1,0.8046623357203118,41.82,3.0,1.0,3
C1CC=C(CCC2N)C(=O)CCC=C1C=CC=C(O)C2CC=CC=C,0.8045320511064858,63.32000000000001,5.0,2.0,3
C=1C(C=N)C=1O,0.8041890249594351,44.08,2.0,1.0,3
COC=CC=C(O)C1CC=CCC1=O,0.8041395596494741,46.53,5.0,1.0,3
C=1NC(C)CC=1O,0.8033775546704983,32.26,2.0,1.0,3
CN(O)C=1CC=1O,0.8026631768948007,43.7,4.0,1.0,3
OC=1CCCN=CN=1.CCC=C2CCC=C2O,0.8024985167182497,65.18,3.0,2.0,3
C1=C(O)C1O,0.802138043001457,40.46,2.0,1.0,3
COC(=O)C1CCCO1,0.8015580463110581,35.53,2.0,1.0,3
COC1CC1(CC=C(O)C=C2C=O)C(C)C2,0.8013653055985712,46.53,5.0,2.0,3
CC12CN1OC(=O)N2O,0.8011137168167792,52.78,2.0,2.0,3
N=COC1C=C1O,0.8009561084702022,53.31,2.0,1.0,3
O=C1OC1(O)C=O,0.8007512179105988,66.9,2.0,1.0,3
ONCCC1=C(O1)O,0.8005130297867742,65.02,5.0,1.0,3
CNC=C1C=C1O,0.8003757473836629,32.26,3.0,1.0,3
C1[C@H1]=C1C=CN2C=C(O)C=CNC2(C)C=O,0.799544081879169,52.57,5.0,2.0,3
CC1=CC=C(O)C=NO1,0.7993928878518259,41.82000000000001,2.0,1.0,3
COC=CCNC1N=C1O,0.7992477260410493,53.849999999999994,5.0,1.0,3
C1NC1COC(=O)C=C=CC(C)=C,0.7985228612168567,48.24,5.0,1.0,3
CC1OC=C(O)C(O)N1,0.7984860237047451,61.72,3.0,1.0,3
OC(C=C=CC=CC=C=CN1)=C1C=O,0.7982394773692277,49.33,2.0,1.0,3
CCOC(O1)C1=O,0.7979465705948668,38.83,3.0,1.0,3
CCCOC(C=C(O)C1=O)C1,0.7978090369859191,46.53,5.0,1.0,3
C1C(=O)C1(C)C=CC=C(O)C2=CC=CNO2,0.7974661762570731,58.56,5.0,2.0,3
COC1=C2COCN2O1,0.7974490645792873,36.53,2.0,2.0,3
C=CNC1OC1=O,0.7969221055947127,41.629999999999995,2.0,1.0,3
O=C(C=CC(C)C1OC1=O)C2=CC2,0.7953979483328548,46.67,5.0,2.0,3
C1C=COCCC1CCOC=O,0.7940979392414471,35.53,3.0,1.0,3
COOC1NC=CC=C=C=C1O,0.7940913022180598,50.72,4.0,1.0,3
C=1C=CC=CNC(C)CC=1CCCN=C(C)O,0.791245211192188,44.620000000000005,6.0,1.0,3
CC1=CN=C(O)C1C=O,0.7901223584992325,49.660000000000004,2.0,1.0,3
C=C(O)NCC1CO1,0.7899503358920599,44.79,4.0,1.0,3
CCOCC1N=C1O,0.789523308865965,41.82,4.0,1.0,3
OCC=CC1N=C1O,0.7893555498439503,52.82000000000001,3.0,1.0,3
C1OC=CC=C(NC(=O)C=O)C=C=CC#CCC1,0.7891648844036241,55.4,2.0,1.0,3
OC1=CN(CCN1)C,0.7885895000602816,35.5,2.0,1.0,3
CNC1=CC=COC1=O,0.788523843291614,42.24,2.0,1.0,3
CN1CC(O)NC=C1O,0.7884645034085258,55.730000000000004,3.0,1.0,3
NC=CCCN1N=CC=C1O,0.7882559589181533,64.07000000000001,5.0,1.0,3
CC1C=C(O)N1O,0.7882271664253233,43.7,3.0,1.0,3
C=CN1OCC=C1O,0.7880050575325555,32.7,2.0,1.0,3
N1=C(CCCNC1CC=C)C=CC=C2N=C(O)C2=C,0.7876446253487188,56.980000000000004,4.0,2.0,3
O=CC1=C(O)NN1,0.7869622959188157,68.88,2.0,1.0,3
COC(=O)C1C=NCCC1=C=O,0.7868075648827648,55.73,2.0,1.0,3
C1C2=CC=C=CCC12N=C(O)C=O,0.7861244598681053,49.660000000000004,2.0,2.0,3
O1C2=CCC1=C(O)N2O,0.7854964228233798,52.93000000000001,2.0,2.0,3
OC(=O)CCC1NC=C1,0.7841612837273195,49.33,3.0,1.0,3
CCCCCOC(=O)C1CCCC1=O,0.7811150398778421,43.370000000000005,6.0,1.0,3
CC=CC=C(OOC(N)CC(C)C1)OC1,0.7799162742885527,53.71000000000001,4.0,1.0,3
O=C(O1)C=C1OC=CC=C2CC2C,0.778989159351754,35.53,4.0,2.0,3
C1OC(=O)C(C)C(OCCC1)C=CCC=O,0.7765256216745837,52.6,4.0,1.0,3
C1OC(=O)C1CCC=O,0.7764020862032377,43.370000000000005,3.0,1.0,3
N#CCCC(=O)C(=CC=CC=CCCOC1=O)C1,0.7749977395277696,67.16,3.0,1.0,3
CNC=C(C1)C2N=COC2=CCCOC1=O,0.774690476578986,59.92000000000001,2.0,2.0,3
O=CCC1C(C)OC1=O,0.7743399114811624,43.370000000000005,3.0,1.0,3
N=C1ONC=C1OC,0.7719318931314001,62.010000000000005,2.0,1.0,3
COC=CC1N(C2=O)N=CC=CC=CC=CC=C1C=C2,0.7716746554033799,41.9,3.0,2.0,3
O=C(C1)OC1CNC,0.7697211809419102,38.33,3.0,1.0,3
C1NC1=COC(=O)C2=CC2(C)CC,0.7681743271684138,48.24,5.0,2.0,3
CC(=O)OCCC1OC1,0.7678961390428076,38.83,4.0,1.0,3
CC(=O)OCCC1OCC=N1,0.7678199134224764,47.89,4.0,1.0,3
C1C=C1C(C)NC=CCOC#CO,0.7677346339937423,41.489999999999995,6.0,1.0,3
C1OC(=O)CCNC1=C=C=C2C=C2CC=CC,0.7659814584829366,38.33,3.0,2.0,3
C1OC(=O)CCC=CCNC(C)N(C)C(CCN2)C(CC)C1=N2,0.765396121353918,65.96000000000001,4.0,2.0,3
CCOCOC(=N1)N1,0.7652696226575293,52.760000000000005,4.0,1.0,3
CCNC=COC1OCCO1,0.7626804355778483,39.72,5.0,1.0,3
COC1=CC=C=C(C1=O)OCC2=CC=C=C=C2C=C,0.7622507565767778,35.53,6.0,2.0,3
C1OC=CC=C1C(=O)C(=O)C=O,0.7614505850691945,60.440000000000005,3.0,1.0,3
CC1NCOC(=O)C1C,0.7605102007313711,38.33,2.0,1.0,3
O=C1C(C)C1COC=O,0.7597063542550182,43.370000000000005,3.0,1.0,3
C1CCCON1CCOC=O,0.7590632955048842,38.77,3.0,1.0,3
O=CNCCOCOC=1OC=1,0.7588902344572459,60.09,6.0,1.0,3
O1CNC=C1ON,0.75846275312641,56.51,2.0,1.0,3
CCOCCN=C1ON1O,0.7570296492566001,57.36,6.0,1.0,3
O=COC1CC1C=O,0.7566773284486117,43.370000000000005,2.0,1.0,3
O1NC1COC=O,0.756223860976238,60.77,2.0,1.0,3
C1NC=C1COC=O,0.756141984665246,38.33,2.0,1.0,3
COC=C1CNCCNC1=O,0.7549812870872197,50.36,2.0,1.0,3
CC1(C)COCOC1=O,0.7534640230714348,35.53,2.0,1.0,3
CC1(C)OC=C1OO,0.7529604892030948,38.69,4.0,1.0,3
CCOC=C(CN1)C1=O,0.7528094768351832,38.33,3.0,1.0,3
OOCCC=C(CC=C1C)OCCCOCCCN=CC=C1C,0.7526876547333157,60.28,6.0,1.0,3
O=COC1C=C=CC1COCC(=O)NC=C,0.7521438086244333,64.63,6.0,1.0,3
CC1(C)OCC1OC=O,0.7520929426195178,35.53,3.0,1.0,3
C=CCC=NC(=N1)OCOC1,0.7516270038402877,43.18000000000001,2.0,1.0,3
CC1=CC(N)C1OC=O,0.7512966039111619,52.32,3.0,1.0,3
C1OC=CC=C(N)C(=O)C#CC1CC,0.7509263681845213,52.32,3.0,1.0,3
ON(NC(=O)N(O1)CC=CC=C1)CC=C(C2)C=C2,0.7494533834624197,65.04,4.0,2.0,3
CCOC=CC=NC(=O)CC1CCCO1,0.749179060312837,47.89,6.0,1.0,3
CCOC1OC(=O)C1,0.7489061777982435,35.53,3.0,1.0,3
C1OC=CC=C(N(O)C=O)CC=CCC1,0.7476499439818871,49.77,2.0,1.0,3
C1C=CCOC(=N)N1CO,0.7473821065611335,56.55,2.0,1.0,3
O=C=CC1=C(OC(C=O)CC=O)OC=CC=C1,0.7458981245965987,69.67,6.0,1.0,3
COC1=C(O2)C2OCN1,0.745572235606438,43.019999999999996,2.0,2.0,3
C=COC1OC=C1N=NC,0.7447406838881803,43.18,4.0,1.0,3
CC=CC1=COCCCN1O,0.7447338675384909,32.7,3.0,1.0,3
C1COC=C1NO,0.7444506244592851,41.489999999999995,2.0,1.0,3
C1C=C(N1NCOC=O)CN=CC#C,0.7442136824648424,53.93,5.0,1.0,3
OOC=CC=C(NN=CC(C)C1CCCC2C1CC)O2,0.7439104994078125,63.08,6.0,2.0,3
COC1=CCC(NCCC)CCO1,0.7431355472022141,30.49,6.0,1.0,3
C1CNC=C1NCOC=O,0.7409837055885462,50.36,3.0,1.0,3
C1OC1=NC(=O)C=CC=O,0.7406255220674929,59.03,2.0,1.0,3
CCC=CN1CC1C=NO,0.7406133818449457,35.6,5.0,1.0,3
O=CC1CC1=NO,0.7404451235820715,49.66,2.0,1.0,3
CCC(=O)OC(O1)CCCO1,0.7402960402776388,44.760000000000005,3.0,1.0,3
CCCCN1CCCC1=NO,0.7390738592290149,35.83,5.0,1.0,3
C1COC=C(O1)N(N)C=NCC(C)C=C,0.7370164738990098,60.08,6.0,1.0,3
O=COCOC1CC1,0.7353585472126647,35.53,3.0,1.0,3
CCC1=NC(O)O1,0.7342609130406257,41.82000000000001,3.0,1.0,3
OOC=CC=COC1=CC1=C,0.733891935092341,38.69,5.0,1.0,3
CN1C=COC1O,0.732647223787218,32.7,2.0,1.0,3
CCCCCOC1OC=NC=NN1,0.7316002645105366,55.21,6.0,1.0,3
CC=CC1=CN(O)O1,0.7315092968067394,38.3,3.0,1.0,3
C1OOC(CC=CCCCC1=COC)C(=O)C=O,0.7312771510636881,61.830000000000005,4.0,1.0,3
C=1C(CO)C=1OC=O,0.7305649270577597,46.53,3.0,1.0,3
CCCC1OC1=NOCC#C,0.730212433462459,34.120000000000005,5.0,1.0,3
CC1N(C(=N)O1)C,0.7297815980472317,36.32000000000001,2.0,1.0,3
CCC1=NC(=CO1)OCC,0.7281488977783594,35.260000000000005,5.0,1.0,3
O1C=NNC1(C=C)NC=C=C=O,0.7280783327876772,62.72,3.0,1.0,3
CC1NC=C1OC=O,0.7273224832501471,38.33,2.0,1.0,3
O=CCC1CCC1CN=NO,0.7261112297896106,62.019999999999996,5.0,1.0,3
COC=CC=C1NC=CCNC(=O)CCC(C2)C2C1C(=C)C#C,0.7241186470324601,50.36,4.0,2.0,3
CCOC=CC(N1)CC1=O,0.7241143670550827,38.33,4.0,1.0,3
C1NOC(=O)C1.OCCC=C(C)C=CC,0.7217002027128356,58.56,6.0,1.0,3
C1OC=CCNC(=O)C(C)CN=C1C(CC=CC)=C2CC=CC#C2,0.7196234866509064,50.69,5.0,2.0,3
COC=CC=C1C=CN=CC=CN=CCC(C)(C)N1C=O,0.7185136699742675,54.260000000000005,5.0,1.0,3
CC#CNC(=O)N=C(CC)CCN(C1=CC=CC=C12)C2,0.7184180836381647,44.7,5.0,2.0,3
O=C(NC1)CC(C)C(=CCC)OCCC1=CC,0.7181171842736493,38.33,4.0,1.0,3
CN=CCOC=CC1NC(=O)CCC=CNC=CCC=C1,0.716322377879027,62.72,5.0,1.0,3
N1=COC(O1)CN,0.7159152574714311,56.84,2.0,1.0,3
C1NC1OCCOC=NC=O,0.7157651153060514,69.83000000000001,4.0,1.0,3
ON=C(CC=1)C=1.CC2CCC=C(N2)CC,0.7157161231105991,44.620000000000005,4.0,2.0,3
COC=C1COCC1O,0.7152705680441531,38.69,3.0,1.0,3
C1C(O)C1(C=NOC=O)C,0.7150138963265723,58.89000000000001,4.0,1.0,3
C=COCCC1=CC1(N)O,0.7147559814287641,55.480000000000004,6.0,1.0,3
COC=C1C=C1NC=O,0.7146914785894548,38.33,3.0,1.0,3
CNC1CC=CC(=O)ON1,0.7142808149088811,50.36,2.0,1.0,3
O=CCNC1=C(OC)N1,0.7136083640453048,60.269999999999996,5.0,1.0,3
C=CCCC1CC1COC#N,0.7130161157621377,33.019999999999996,5.0,1.0,3
C1=COCCNC1(C)O,0.7129337034949945,41.489999999999995,2.0,1.0,3
COC1=NCCC=C1NC#N,0.7123920574744325,57.41,2.0,1.0,3
C1C=CCCC2CC=CNCCNC(=O)N(C(C)N2)C=C=C(C=C)C1,0.7121468759415994,56.4,2.0,2.0,3
C1OC=C(C1)NC=CC=CN(CC)C=O,0.7121275180729745,41.57,6.0,1.0,3
OCC=CC=C1OC1O,0.7109546701866243,52.989999999999995,4.0,1.0,3
N#CC=CCC=NCO.C1(C)=CCCO1,0.7107965571820164,65.61,5.0,1.0,3
COC1COC=CN1C=O,0.7104434960131245,38.77,2.0,1.0,3
CC=NC1C(=C)N=C1OC=O,0.7100682453108154,51.02,2.0,1.0,3
C1OC=CC1(NCO)N,0.7096305733976646,67.50999999999999,4.0,1.0,3
COC1=CC#CN1C=O,0.7088901031244552,31.23,2.0,1.0,3
CCC1NC(=O)N1C=O.C=CC=C=CC2CCOC2,0.7075289430949712,58.64,4.0,2.0,3
